"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
59037,Vancouver Fraserview—South Burnaby,Vancouver Fraserview—Burnaby-Sud,2023,33517602.3904,30637.7484071
59038,Vancouver Granville,Vancouver Granville,2023,24199013.8875,26432.8760223
59039,Vancouver Kingsway,Vancouver Kingsway,2023,16768128.3974,18853.2220789
59040,Vancouver Quadra,Vancouver Quadra,2023,56987264.0577,38500.637956
59041,Vernon—Lake Country—Monashee,Vernon—Lake Country—Monashee,2023,15146736183,791611.132991
59042,Victoria,Victoria,2023,431237833.723,95894.5454902
59043,West Vancouver—Sunshine Coast—Sea to Sky Country,West Vancouver—Sunshine Coast—Sea to Sky Country,2023,15127506070.7,874632.033661
60001,Yukon,Yukon,2023,456664827522,4126710.79816
61001,Northwest Territories,Territoires du Nord-Ouest,2023,2484318940550,10173596.8848
62001,Nunavut,Nunavut,2023,4739816525440,14975610.6524
