riding_id,riding_name,inc_fname,inc_lname,bq_can,ppc_can,ndp_can,cpc_can,lib_can,gp_can
185,Oakville East,,,,Henry Karabela,Hailey Ford,Ron Chhinzer,Anita Anand,
186,Oakville West,,,,JD Meaney,Diane Downey,Tim Crowder,Sima Acan,
320,Okanagan Lake West—South Kelowna,,,,,Harpreet Badohal,Dan Albas,Juliette Sicotte,
187,Orléans,Marie-France,Lalonde,,Tafiqul Abu Mohammad,Oulai B. Goué,Steve Mansour,Marie-France Lalonde,
188,Oshawa,Colin,Carrie,,,Sara Labelle,Rhonda Kirkland,Isaac Ransom,
189,Ottawa Centre,Yasir,Naqvi,,,Joel Harden,Paul D'Orsonnens,Yasir Naqvi,
190,Ottawa South,David,McGuinty,,,Hena Masjedee,Blair Turner,David McGuinty,
192,Ottawa West—Nepean,Anita,Vandenbeld,,Glen Armstrong,Josh Bizjak,Ryan Telford,Anita Vandenbeld,
191,Ottawa—Vanier—Gloucester,,,,,Tristan Oliff,Dean Wythe,Mona Fortier,
85,Outremont,Rachel,Bendayan,Rémi Lebeuf,,Ève Péclet,Ronan Reich,Rachel Bendayan,Jonathan Pedneault
193,Oxford,Arpan,Khanna,,Steven Beausoleil,Matthew Chambers,Arpan Khanna,David Hilderley,
86,Papineau,Justin,Trudeau,Sophy Forget Bélec,Noah Cherney,Niall Ricardo,Julio Rivera,Marjorie Michel,
291,Parkland,,,,Jason Lavigne,Keri Goad,Dane Lloyd,Ashley Fearnall,
194,Parry Sound—Muskoka,Scott,Aitchison,,Isabel Pereira,,Scott Aitchison,Geordie Sabbagh,
292,Peace River—Westlock,Arnold,Viersen,,,Landen Tischer,Arnold Viersen,Luke Markowski,
195,Perth—Wellington,John,Nater,,Wayne Baker,Kevin Kruchkywich,John Nater,David Mackey,
196,Peterborough,,,,Jami-Leigh McMaster,Heather Ray,Michelle Ferreri,Emma Harrison,
197,Pickering—Brooklin,,,,Lisa Robinson,Jamie Nye,Alicia Vianga,Juanita Nathan,
87,Pierre-Boucher—Les Patriotes—Verchères,Xavier,Barsalou-Duval,Xavier Barsalou-Duval,Alexandre Blais,,Vincent Kunda,Laurent de Casanove,
